timestamp_s,accel_x_g,accel_y_g,accel_z_g,speed_kmh,gps_lat,gps_lon,gps_speed_kmh
0.0,0.02076,0.03522,-0.00531,0.15,59.3326996,18.0649064,0.1
0.01,0.02275,0.03715,0.00137,0.0,,,
0.02,0.03266,0.03641,-0.00653,0.19,,,
0.03,0.04029,0.03007,-0.00765,0.46,,,
0.04,0.04847,0.03415,-0.00158,0.0,,,
0.05,0.05546,0.03751,-0.00046,0.0,,,
0.06,0.05394,0.0366,-0.0012,0.48,,,
0.07,0.06705,0.03186,0.01415,0.24,,,
0.08,0.06834,0.03656,0.00034,0.0,,,
0.09,0.07954,0.03856,0.00733,0.18,,,
0.1,0.08195,0.03099,0.01786,0.0,,,
0.11,0.08775,0.02706,-0.00379,0.0,,,
0.12,0.07936,0.04197,0.00113,0.1,,,
0.13,0.09295,0.03616,0.00654,0.0,,,
0.14,0.08915,0.03307,0.00098,0.0,,,
0.15,0.094,0.03293,-0.00222,0.0,,,
0.16,0.0955,0.03549,0.01875,0.0,,,
0.17,0.09573,0.03904,0.00947,0.14,,,
0.18,0.0891,0.02886,-0.01681,0.0,,,
0.19,0.10022,0.0333,0.01086,0.0,,,
0.2,0.09767,0.04148,0.01296,0.5,,,
0.21,0.08937,0.0382,0.00956,0.0,,,
0.22,0.09483,0.03787,0.00582,0.1,,,
0.23,0.0915,0.03653,0.01241,0.0,,,
0.24,0.09073,0.03614,0.00706,0.0,,,
0.25,0.10239,0.03305,0.00473,0.13,,,
0.26,0.09216,0.03267,0.00107,0.0,,,
0.27,0.08282,0.03817,-0.00816,0.23,,,
0.28,0.10286,0.03274,-0.01098,0.0,,,
0.29,0.08799,0.03604,0.00615,0.05,,,
0.3,0.10254,0.03551,0.00604,0.0,,,
0.31,0.14094,0.04343,4e-05,0.71,,,
0.32,0.13888,0.03421,-0.00687,0.16,,,
0.33,0.10587,0.03957,-0.00904,0.0,,,
0.34,0.11729,0.03766,-0.00263,0.43,,,
0.35000000000000003,0.13605,0.03443,0.00561,0.0,,,
0.36,0.13126,0.02994,0.01721,0.27,,,
0.37,0.14935,0.03469,-0.0002,0.0,,,
0.38,0.11867,0.0385,0.0023,0.0,,,
0.39,0.0865,0.03002,0.00972,0.3,,,
0.4,0.11208,0.0384,5e-05,0.48,,,
0.41000000000000003,0.10741,0.04039,0.00263,0.32,,,
0.42,0.11375,0.03533,0.00628,0.25,,,
0.43,0.13871,0.03858,0.00905,0.21,,,
0.44,0.1324,0.03546,0.00043,0.0,,,
0.45,0.12857,0.03717,-0.00376,0.11,,,
0.46,0.13347,0.0408,0.00141,0.2,,,
0.47000000000000003,0.12849,0.02841,-0.01396,0.67,,,
0.48,0.1612,0.03175,0.00221,0.48,,,
0.49,0.16649,0.0399,0.00694,0.0,,,
0.5,0.13443,0.04075,0.01294,0.5,,,
0.51,0.1512,0.02931,0.00727,0.3,,,
0.52,0.14316,0.04116,-0.02039,0.23,,,
0.53,0.16141,0.02465,0.01244,0.64,,,
0.54,0.1581,0.03738,0.01277,0.78,,,
0.55,0.12865,0.03558,-0.00877,0.77,,,
0.56,0.13214,0.03187,-0.00368,0.25,,,
0.5700000000000001,0.15482,0.03211,0.01208,0.43,,,
0.58,0.1509,0.03241,0.00121,0.64,,,
0.59,0.16805,0.03438,-0.0057,0.85,,,
0.6,0.14326,0.04298,-0.00609,0.44,,,
0.61,0.12606,0.03825,0.02174,0.54,,,
0.62,0.15146,0.04066,0.00608,0.29,,,
0.63,0.13028,0.03367,-0.00263,0.28,,,
